ID,id,server,parent_fleet,fleet_number,registration,status,comments,date_created,priority,assigned_to
1,16148-1,MDVR3,Lebzotic,16148,KCF908NW,AwaitingPO,PX cunter night mode faulty; PX counter needs replacement,2025-12-05 00:00:00,2,
2,16138-2,MDVR3,Lebzotic,16138, KCF903NW,New,Door camera needs cleaning,2025-12-06 00:00:00,2,
3,TB17203-3,MDVR3,Lebzotic,TB17203 ,LCP924NW,AwaitingPO,Entire MDVR system is de-installed,2025-12-07 00:00:00,2,
4,7123-4,MDVR3,Mega Bus Kloof ,7123,XTK295GP,Inspected -Monitoring,CH5 has intermittent video loss,2025-12-07 00:00:00,1,
5,7136-5,MDVR3,Mega Bus Kloof ,7136,XVP212GP,New,CH2 glitching; CH5 needs repositioning,2025-12-07 00:00:00,1,
6,6291-6,MDVR3,MB transport ,6291,KFY339MP,New,Both channels have intermittent video loss.,2025-12-07 00:00:00,1,
7,2533-7,MDVR3,MB transport ,2533,CV605,PO -approved,MDVR location not updating; replacement antenna sent to workshop,2025-12-07 00:00:00,1,
8,H0325-8,MDVR3,Everfresh ,H0325,CY473352,PO -approved,CH3 camera damage. To be replaced once in CPT,2025-12-07 00:00:00,1,
9,124-9,MDVR3,Fuzion Transport ,124,CY113464,New,Tech to inspect in CPT,2025-12-07 00:00:00,1,
10,16131-10,MDVR3,Mega Bus Secunda,16131, HFJ227MP,New,PX counter camera needs cleaning,2025-12-07 00:00:00,2,
11,1656-11,MDVR3,Mega Bus Secunda,1656, FCB271MP,New,PX counter camera needs cleaning,2025-12-07 00:00:00,2,
12,5043-12,MDVR3,Mega Bus Secunda,5043, JKM566MP,New,Driver facing glitching ,2025-12-07 00:00:00,2,
13,1689-13,MDVR3,Mega Bus Secunda,1689, FYD326MP,New,Driver facing glitching ,2025-12-07 00:00:00,2,
14,16340-14,MDVR3,Mega Bus Secunda,16340, LHW697MP,New,Driver facing needs repositioning,2025-12-07 00:00:00,2,
15,1677-15,MDVR3,Mega Bus Secunda,1677, FVF040MP,New,Driver facing needs repositioning,2025-12-07 00:00:00,2,
16,1680-16,MDVR3,Mega Bus Secunda,1680, FWS918MP,New,Driver facing needs repositioning,2025-12-07 00:00:00,2,
17,59143-17,MDVR3,Bapotrans,59143, KNT990MP,New,Driver facing camera needs repositioning and its glitching ,2025-12-07 00:00:00,2,
18,16294-18,MDVR3,Mega Bus Kuruman,16294, DDH631NC,Monitoring,MDVR not updating; bus in workshop without engine,2025-12-07 00:00:00,2,
19,16217-19,MDVR3,Mega Bus Kuruman,16217, CWZ684NC,New,PX counter intermittent video loss.,2025-12-07 00:00:00,1,
20,16206-20,MDVR3,Mega Bus Kuruman,16206, CKX474NC,New,Door facing camera needs cleaning,2025-12-07 00:00:00,2,
21,16295-21,MDVR3,Mega Bus Kuruman,16295, DDH629NC,New,Door facing camera needs cleaning,2025-12-07 00:00:00,2,
22,16230-22,MDVR3,Mega Bus Kuruman,16230, CSR898NC,New,Door facing camera needs cleaning,2025-12-07 00:00:00,2,
23,16216-23,MDVR3,Mega Bus Kuruman,16216, CXC730NC,PO -approved,MDVR not updating; SIM suspended. Replacement SIM sent to workshop.,2025-12-07 00:00:00,1,
24,16152-24,MDVR3,Mega Bus Kuruman,16152, CZK429NC,New,MDVR not updating ,2025-12-07 00:00:00,2,
